"T.P.College,madhepura S.O",852113,S.O,Non-Delivery,Saharsa,BhagalPur,Bihar,Madhepura,Madhepura,BIHAR
"D.P.Camp, Sunabeda S.O",763003,S.O,Delivery,Koraput,Berhampur,Odisha,Sunabeda,Koraput,ODISHA
"Nad, Sunabeda S.O",763004,S.O,Delivery,Koraput,Berhampur,Odisha,Sunabeda,Koraput,ODISHA
"R K Nagar, Rayagada S.O",765001,S.O,Non-Delivery,Koraput,Berhampur,Odisha,Rayagada,Rayagada,ODISHA
"P.T.C.,Angul S.O",759123,S.O,Delivery,Dhenkanal,Sambalpur,Odisha,Anugul,Angul,ODISHA
"Sector ll CDA, Cuttack S.O",753015,S.O,Delivery,Cuttack City,Bhubaneswar HQ,Odisha,Cuttack Sadar,Cuttack,ODISHA
"NTPC, Darlipali SO",770025,S.O,Delivery,Sundargarh,Sambalpur,Odisha,Bhasma,Sundergarh,ODISHA
"Machari Chowk,rajgarh S.O",301408,S.O,Non-Delivery,Alwar,Jaipur HQ,Rajasthan,Rajgarh,Alwar,RAJASTHAN
"Central University of Rajasthan,Bandar Sindari S.O",305817,S.O,Delivery,Ajmer,Ajmer,Rajasthan,Kishangarh,Ajmer,RAJASTHAN
"Block 1, Neyveli S.O",607801,S.O,Non-Delivery,Cuddalore,Tiruchy,Tamilnadu,Virudhachalam,Cuddalore,TAMIL NADU
"Block 5, Neyveli S.O",607803,S.O,Non-Delivery,Cuddalore,Tiruchy,Tamilnadu,Virudhachalam,Cuddalore,TAMIL NADU
"Block 10,neyveli S.O",607801,S.O,Non-Delivery,Cuddalore,Tiruchy,Tamilnadu,Virudhachalam,Cuddalore,TAMIL NADU
"Block 18, Neyveli S.O",607803,S.O,Non-Delivery,Cuddalore,Tiruchy,Tamilnadu,Virudhachalam,Cuddalore,TAMIL NADU
"Block 24, Neyveli S.O",607801,S.O,Non-Delivery,Cuddalore,Tiruchy,Tamilnadu,Virudhachalam,Cuddalore,TAMIL NADU
"Block 26, Neyveli S.O",607803,S.O,Non-Delivery,Cuddalore,Tiruchy,Tamilnadu,Virudhachalam,Cuddalore,TAMIL NADU
"Block 29, Neyveli S.O",607807,S.O,Delivery,Cuddalore,Tiruchy,Tamilnadu,Virudhachalam,Cuddalore,TAMIL NADU
"R,palakurichi B.O",622407,B.O,Delivery,Pudukkottai,Tiruchy,Tamilnadu,Tirumayam,Pudukkottai,TAMIL NADU
"T,pudupatti B.O",621217,B.O,Delivery,Srirangam,Tiruchy,Tamilnadu,Musiri,Tiruchirappalli,TAMIL NADU
"Nemandhapura,m B.O",632103,B.O,Delivery,Vellore,Chennai Region,Tamilnadu,Vlr,Vellore,TAMIL NADU
"X Roads, Kodad B.O",508206,B.O,Non-Delivery,Suryapet,Hyderabad,Telangana,Huzurnagar,Nalgonda,TELANGANA
"Vennel""b"" B.O",503217,B.O,Delivery,Nizamabad,Hyderabad,Telangana,Armoor,Nizamabad,TELANGANA
"Vannel ""k"" B.O",503212,B.O,Delivery,Nizamabad,Hyderabad,Telangana,Armoor,Nizamabad,TELANGANA
"I T I, Naini S.O",211010,S.O,Non-Delivery,Allahabad,Allahabad,Uttar Pradesh,Karchhana,Allahabad,UTTAR PRADESH
"Sector-1, Greater Noida PO",201318,S.O,Delivery,Ghaziabad,Lucknow  HQ,Uttar Pradesh,Noida,Gautam Buddha Nagar,UTTAR PRADESH
Dangauli B.O,275306,B.O,Delivery,Azamgarh,Gorakhpur,Uttar Pradesh,"Dangauli  Koiria par, Mau",Mau,UTTAR PRADESH
"Azamgarh, R.S S.O",276001,S.O,Non-Delivery,Azamgarh,Gorakhpur,Uttar Pradesh,Azamgarh ,Azamgarh,UTTAR PRADESH
"Mirjahadipura Chowk, S.O",275101,S.O,Non-Delivery,Azamgarh,Gorakhpur,Uttar Pradesh,Ghosi,Mau,UTTAR PRADESH
"Prasar Kendra, Rampur S.O",247451,S.O,Non-Delivery,Saharanpur,Bareilly,Uttar Pradesh,Deoband,Saharanpur,UTTAR PRADESH
"Sugar Mill, Sarsawa S.O",247232,S.O,Non-Delivery,Saharanpur,Bareilly,Uttar Pradesh,Nakur,Saharanpur,UTTAR PRADESH
"Sidhari, B.O",276128,B.O,Non-Delivery,Azamgarh,Gorakhpur,Uttar Pradesh,NA,Azamgarh,UTTAR PRADESH
Kanupat Majhpara B.O,711412,B.O,Delivery,Howrah,South Bengal,West Bengal,"Chitrasenpur , Howrah",Howrah,WEST BENGAL
Uttar Mansri B.O,711412,B.O,Delivery,Howrah,South Bengal,West Bengal,"Chitrasenpur , Howrah",Howrah,WEST BENGAL
Prasastha B.O,711302,B.O,Delivery,Howrah,South Bengal,West Bengal,"Andul-Mouri , Howrah",Howrah,WEST BENGAL
Kantapukur B.O,711303,B.O,Delivery,Howrah,South Bengal,West Bengal,"Bagnan , Howrah",Howrah,WEST BENGAL
Kasmali B.O,711303,B.O,Delivery,Howrah,South Bengal,West Bengal,"Bagnan , Howrah",Howrah,WEST BENGAL
Dulopur B.O,711316,B.O,Delivery,Howrah,South Bengal,West Bengal,"Uluberia ,  Howrah",Howrah,WEST BENGAL
Kantaberia B.O,711316,B.O,Delivery,Howrah,South Bengal,West Bengal,"Uluberia,  Howrah",Howrah,WEST BENGAL
